id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,label,cate
0,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,59539,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,17,4,0,0,1.63828E+12,1.63828E+12,138857,11235,831390,1.63828E+12,1.63828E+12,138857,11235,831390,0,0,0,0,0,74,74,0,74,74,74,0,74,0,0,0,0,0,12.36042371,479.3008304,30253,0,12.36042371,479.3008304,30253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,Attack,UDPFlood
1,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,55668,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,17,4,0,0,1.63828E+12,1.63828E+12,141379,9717,719058,1.63828E+12,1.63828E+12,141379,9717,719058,0,0,0,0,0,74,74,0,74,74,74,0,74,0,0,0,0,0,14.55115274,550.6890855,40872,0,14.55115274,550.6890855,40872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,Attack,UDPFlood
2,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,51076,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,17,4,0,0,1.63828E+12,1.63828E+12,126449,10394,769156,1.63828E+12,1.63828E+12,126449,10394,769156,0,0,0,0,0,74,74,0,74,74,74,0,74,0,0,0,0,0,12.16674685,485.7590524,30063,0,12.16674685,485.7590524,30063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,Attack,UDPFlood
3,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,64054,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,17,4,0,0,1.63828E+12,1.63828E+12,123757,5659,418766,1.63828E+12,1.63828E+12,123757,5659,418766,0,0,0,0,0,74,74,0,74,74,74,0,74,0,0,0,0,0,21.87292329,659.4023322,30234,0,21.87292329,659.4023322,30234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,Attack,UDPFlood
4,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,63326,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,17,4,0,0,1.63828E+12,1.63828E+12,109107,4843,358382,1.63828E+12,1.63828E+12,109107,4843,358382,0,0,0,0,0,74,74,0,74,74,74,0,74,0,0,0,0,0,22.53345725,695.3072668,29919,0,22.53345725,695.3072668,29919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,Attack,UDPFlood
5,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,54408,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,17,4,0,0,1.63828E+12,1.63828E+12,109057,2256,166944,1.63828E+12,1.63828E+12,109057,2256,166944,0,0,0,0,0,74,74,0,74,74,74,0,74,0,0,0,0,0,48.36230599,1169.108292,42041,0,48.36230599,1169.108292,42041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,Attack,UDPFlood
6,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,54226,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,17,4,0,0,1.63828E+12,1.63828E+12,108942,3046,225404,1.63828E+12,1.63828E+12,108942,3046,225404,0,0,0,0,0,74,74,0,74,74,74,0,74,0,0,0,0,0,35.7773399,1150.553653,44584,0,35.7773399,1150.553653,44584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,Attack,UDPFlood
7,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,52560,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,17,4,0,0,1.63828E+12,1.63828E+12,108941,4410,326340,1.63828E+12,1.63828E+12,108941,4410,326340,0,0,0,0,0,74,74,0,74,74,74,0,74,0,0,0,0,0,24.7087775,753.8914239,40803,0,24.7087775,753.8914239,40803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,Attack,UDPFlood
8,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,54198,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,17,4,0,0,1.63828E+12,1.63828E+12,122099,3257,241018,1.63828E+12,1.63828E+12,122099,3257,241018,0,0,0,0,0,74,74,0,74,74,74,0,74,0,0,0,0,0,37.49969287,870.9506299,30304,0,37.49969287,870.9506299,30304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,Attack,UDPFlood
9,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,60078,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,17,4,0,0,1.63828E+12,1.63828E+12,108169,3858,285492,1.63828E+12,1.63828E+12,108169,3858,285492,0,0,0,0,0,74,74,0,74,74,74,0,74,0,0,0,0,0,28.04485351,899.3609221,44905,0,28.04485351,899.3609221,44905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,Attack,UDPFlood
